info,name,sou,style
,"肖申克的救赎 The Shawshank Redemption,(1994)",,"剧情,犯罪"
,"当幸福来敲门 The Pursuit of Happyness,(2006)",,"剧情,家庭,传记"
,"怦然心动 Flipped,(2010)",,"剧情,喜剧,爱情"
,"乱世佳人 Gone with the Wind,(1939)",,"剧情,爱情,历史,战争"
,"触不可及 Intouchables,(2011)",,"剧情,喜剧"
,"无间道 無間道,(2002)",,"剧情,悬疑,犯罪"
